company,year,text_a,pena_n,label
2833,2016,"前一年度營業結果營業實施成果本公司於104年10月15日與中國信託金融控股股份有限公司(以下簡稱中信金控)進行股份轉換,並成為中信金控持股百分之百之子公司。中信金控自100年11月接手大都會國際人壽(該公司於101年1月更名為中國信託人壽保險股份有限公司,以下簡稱中信人壽),中信人壽又於103年併購宏利人壽台灣分公司。為有效整合資源,以提升綜效,105年1月1日中信金控旗下兩家壽險子公司中信人壽與台灣人壽合併,資產已破兆,105年整體營運狀況良好,茲將經營績效報告如下:初年度保費為1,399億元,業界排名第4名,銀行保險、保險經紀人及代理人、直效行銷通路皆排名業界前三名,且業務部隊更加擴大,擁有超過九千名業務員。總保費為2,524億,業界排名第5名。可運用資金12",4,Y
2833,2016,"051億元。上年度預算執行情形:合併元年因進行整併,公司營運得以發揮綜效,預算執行情形良好,合併稅後淨利為49億元。財務收支及獲利能力分析合併稅後淨利‥34億元。合併資產總額:12,856億元。基本每股盈餘‥61元。研究發展狀況商品面傳統型商品:即時滿足通路及市場需求,搶佔既有市場,並因應市場及法令變化,快速推出商品,搶得先機。如:因應實物給付保單開放,105年11月為首家推出連結殯葬服務實物給付保單之壽險業者。投資型商品:除持續開發多檔臺外幣投資型商品及投資型商品內扣式附約保障平台,滿足消費者投資與保障的需求之外,亦積極開發附保證給付商品及連結新型態標的之投資型商品,如:105年12月推出附保證給付之商品。服務面:持續強化客戶及通路服務,提升服務品質與便利性,如:新增繳費管道。",4,Y
2867,2016,"﻿前一年度營業結果105年度營業計畫實施成果105年,受新興市場成長動能放緩、美日歐表現不如預期、英國脫歐衝擊金融市場及全球貿易等因素影響,全球經濟成長放緩。國內經濟上半年受到全球貿易疲弱和中國景氣波動影響經濟疲弱,下半年出口回溫帶動經濟回穩。面對金融情勢動盪不安,三商美邦持續以穩健踏實經營,提高新契約商品價值,注重增加公司利潤,加強風險控管,以追求長期財務穩健,增進資金運用效益及提升股東價值為目標。茲將本公司105年度經營績效報告如下：本公司105年底總資產規模達新台幣9,490億元,稅後淨利達新台幣6億元,每股稅後盈餘為新台幣78元。105年新契約保費收入達新台幣345億元,總保費收入達新台幣1",4,Y
2867,2016,"420億元,年成長率為3%。預算執行情形：不適用。財務收支及獲利能力分析本公司105年營業收入約新台幣1,741億元,較前一年同期成長8%,稅後淨利達新台幣6億元,較前一年同期成長5%。研究發展狀況商品發展：因應高齡化時代,強化長期照護、重大疾病險、殘扶險等保障型商品,並榮獲「2016年度最佳風雲保單」及「2016Smart保單評選重大疾病優質保單」。數位服務：持續推廣電子表單、網路自動化交易及行動投保、行動理賠等E化服務以提升營運成本效益、強化服務效率；榮獲「財訊金融獎最佳壽險服務獎」、「卓越雜誌評比最佳數位獎」。據點拓展：擴大營業服務據點範疇,在台中及高雄新增服務據點,提供中南部客戶在地化服務,深耕區域壽險市場。企業社會責任：以企業永續經營理念,強化公司治理、落實對社會環境企業責任。成為唯一連續2年入選「臺灣公司治理100指數」的壽險業者,並獲得「臺灣TOP50企業永續報告獎-金融及保險業金獎」、國際「ISO14001環境管理系統」驗證。",4,Y
5831,2016,"﻿105年度營業結果回顧105年,受惠於國際電子產品需求增溫、原油及原物料價格止跌回穩,出口轉為正成長,第4季經濟表現優於預期,全年GDP成長率上修至40%。台股加權指數全年大漲915點,漲幅近11%。國外債市方面,美國聯準會於105年12月升息25%,國內債市方面,臺灣央行105年上半年兩次調降重貼現率至375%,105年底10年期公債利率小幅走升至19%。為求資金運用效率,105年公司積極佈局債券部位提升整體固定收益,伺川普當選升息效應增加美元債券300餘億元,國際板債券之投資餘額達3,415億元,致使年度經常性收益率達9%,較前一年度成長。外匯方面,因歐洲及日本持續實施量化寬鬆的貨幣政策,外資持續匯入,臺幣表現相對強勢,累計全年臺幣升值超過7角；而中國因人行維持緊盯一籃子貨幣策略,且資金持續流出中國,導致人民幣加速貶值,累計全年境內及境外人民幣對美金貶值分別超過6%及5%。本公司除隨時掌握外匯市場變化外,並在嚴謹的風險控管機制下,透過模組化操作以降低外匯避險成本。在財務經營方面,105年相關之個體營業數據如下：營業收入為新臺幣（下同）3,471億36萬元,較去年度增加511億4,352萬元,增加28%,主因係簽單保費收入增加。本公司目前商品策略以能帶來公司長期利益並受到客戶青睞的保障型及健康險商品為主,105年總保費收入(含投資型商品)為2,643億8,074萬元,較去年度增加365億9,437萬元,成長率07%。全險有效契約保額為9兆4,475億6,751萬元,較去年度增加650億6,009萬元,成長率69%；個人壽險及健康險主約有效契約保額為4兆8,655億3,521萬元,較去年度增加929億6,835萬元,成長率95%。全險有效契約件數為1,770萬2,437件,較去年度增加16萬6,959件,成長率95%；個人壽險及健康險主約有效契約件數為828萬1,490件,較去年度增加24萬4,632件,成長率04%。保險給付為1,099億4,849萬元,較去年度增加88億1,053萬元,增加71%,主因係解約金及理賠給付增加。營業成本3,336億9,620萬元,營業費用141億4,634萬元,營業損失7億4,218萬元,營業外淨收入為1億1",2,Y
5831,2016,"458萬元,稅前淨損為6億2,760萬元,所得稅利益為7億4,964萬元,稅後純益為1億2,204萬元。本公司105年度每股稅後盈餘02元,純益率035%。101年3月1日起依「保險業各種準備金提存辦法」提列外匯價格變動準備,本公司截至105年12月31日止外匯價格變動準備累計餘額31億602萬元。外匯價格變動準備之影響：（單位：億元,每股盈餘為元）影響項目未適用金額適用金額影響數稅後損益2227每股盈餘0254外匯價格變動準備-0606股東權益77776790105年度預算執行情形（單位：億元）項目105年度預算數105年度實際數達成比率稅前淨利05-79%達成率偏低原因,主因105年度匯率波動劇烈以致匯兌成本增加所致。105年5月6日經中華信用評等公司評定財務實力評等及發行體信用評等等級為twAA-,評等展望為穩定的信評結果。商品開發方面,105年本公司仍以堆疊長期基礎利益為主要商品策略。為響應政府長期照護政策,因應人口老化、慢性病、失智或失能風險,高齡化及少子化的雙重夾擊,本公司持續推動「長照三保」,在長期照護險、類長照險及殘扶險方面分別推出「長照久久長期照顧終身保險」、「長護久久終身健康保險」及「長扶雙享A、B型殘廢照護終身（健康）保險」等商品,並持續研發各類型長期照護商品,全面守護國人「癱、病、殘」的三大風險,提供國人更周全的長照保障選擇。為減低市場利率影響,本公司持續開發一系列利率變動型保險商品,且幣別亦包含臺幣、美元及澳幣等多種外幣。臺幣保單部分,推出「鑫富105利率變動型終身壽險」及「鑫富雙收利率變動型終身壽險」,提供保戶多元理財計畫；外幣保單部分,105年持續推動美元增額型商品「美富雙喜外幣利率變動型終身壽險」、美元還本型商品「美利雙喜外幣利率變動型終身還本保險」,推動成效良好；另配合OIU國際保險業務開發「富裕美好美元萬能終身壽險」及「美富傳家外幣利率變動型終身壽險」。在澳幣保單方面,本公司於105年陸續開發「澳富105外幣利率變動型終身壽險」及「澳利雙喜外幣利率變動型終身還本保險」,藉由保單長期規劃,降低短期幣值波動風險,亦能同時滿足保險保障及穩健累積資產的需求。現今平權意識抬頭,為照顧新時代女性,本公司特別推出「HER大女子保險計畫」,量身打造「大好利率變動型終身還本保險」,每年提供生存保險金讓女性保戶自由運用寵愛自己；同時推出「大好特定疾病終身健康保險附約」及「大好住院手術醫療終身健康保險附約」,提供女性特定癌症及疾病於罹病前、中、後三階段之全方位醫療保障；此外,特別提供女性勞工「大好職業災害保險」,轉嫁因職災造成之風險缺口。另為協助國人及早做好退休規畫,大力推出「展新人生保險計畫」,特別為樂退經濟需求,量身訂作「展鑫人生利率變動型終身還本保險」,自選65歲三種樂退年齡,提供月退俸概念的生存保險金,啟動「活到老,領到老」的最佳策略,並搭配「展鑫人生終身健康保險」,提供醫療日額遞增及保證180個月失能給付等保障。同時透過「雙主約」保險組合,保戶可及早為自身規劃退休理財及長照保障,降低無法預知的長壽風險。為因應金融數位化、網路化與行動化的商業模式趨勢,並配合政府數位化金融環境之施政方針,本公司著重於開辦網路投保業務,提供保戶方便且多元通路投保方式,商品涵蓋「旅行平安險」、「i平安傷害險」及通勤族專屬「i-going意外傷害保險」等,領先市場商品種類最多,105年再推出一年期的「MyWay定期壽險」,領先業界率先獲得核准網路開賣實支實付醫療險「NewHealth健康保險」,以及網路投保年金商品「EZCash利率變動型年金保險【乙型】」,可選擇一次給付或分期給付年金,分期給付則可選擇保證期間10年、15年或20年,提供更多元的資金運用方式。本公司持續將目標市場鎖定網路使用特定族群,未來亦將配合法令開放,推出多樣限定網路投保之保險商品,增加商品組合以滿足保戶投保需求。法規環境方面,本公司積極規劃與落實洗錢及資恐風險評估之風險評估方式及管理措施,業於105年3月31日完成洗錢及資恐風險評估之規劃與建置,並於105年9月29日完成首次洗錢及資恐風險評估及擬訂將優先採行之降低風險措施。另因應法規要求保險業應就蒐集、處理或利用病歷、醫療、健康檢查等個人資料作業,訂定內部處理程序並納入內部控制及稽核項目之相關事宜,本公司業於105年下半年依規辦理,以強化個人資料保護作業。",2,Y
5865,2016,"﻿前一年度營業結果105年度營業計畫實施成果本公司105年度經營績效報告如下：新契約保費收入為2,042億8,272萬元,業界排名第二。總保費收入為4,936億2,150萬元,業界排名第三。個人壽險新契約保額為2,535億8,882萬元。個人壽險有效契約保額為57,546億8,200萬元。上年度預算執行情形：(略)財務及獲利能力分析：本公司105年底資產規模達33,471億7,487萬元,營業收入為6,098億9,184萬元,營業支出為5,643億88萬元",1,Y
5865,2016,"本期淨利為286億8,756萬元,每股盈餘13元。研究發展狀況：客戶服務方面為掌握數位潮流,持續推動客戶動態管理平台、大數據應用及數位服務等專案,以加強業務員的數位專業訓練,並運用金融科技提升業務經營效率,追求以客為尊的即時服務。同時,為善盡企業社會責任,持續推動公司治理與永續(ESG)及其他大型專案進行公益與弱勢關懷行動,並結合富邦集團既有的運動資源,傳遞活力運動的正向力量。商品方面因應高齡商機,為滿足民眾對於財務、健康及生活所需之多元需求,將提供更多樣化退休規劃及保障型保險商品,並與多家產、官、學機構交流,以共同研議可能跨業合作之方式,提出更多元的實物給付型商品及外溢保單；另,將持續開發並推動利變型、投資型及OIU保險商品以提升業績。",1,Y
5873,2016,"﻿前一年度營業結果營業計畫實施成果本公司為善盡企業社會責任、提升資產規模及創造整體營運綜效,參與財團法人保險安定基金主持之國華人壽保險股份有限公司標售案且得標,並以102年3月30日為移轉基準日,概括承受國華人壽除保留資產負債外之全部資產、負債及營業。本公司亦為首波獲得金管會許可設立國際保險業務分公司（OIU）的五家壽險公司之一,105年度之OIU保費達1,312萬美元,為業界第一。為因應金融科技及數位化潮流,本公司於105年亦完成mPOS行動業務裝置及電子商務平台的上線,並運用大數據,建立理賠防詐欺模型。同時,與IBM公司合作,進行系統轉型計畫,105年已經完成新系統設計與開發,並開始進行整合測試作業。雖面對激烈的競爭環境,仍持續透過商品創新與多元化通路策略,致力為保戶提供最專業且需求導向的產品規劃及服務,並以穩健之財務控管及永續經營原則,針對不同消費年齡層及屆齡退休族群的需求,提供一系列退休規劃商品,協助保戶對抗長壽、通膨、市場、醫療及政策五大風險,以打造保險及退休規劃專家之專業形象,成為保戶心中保險及退休規劃服務之領導品牌,協助客戶加強資產配置,提前規劃未來,坐擁安穩的生活保障,圓夢人生。預算執行情形：回顧民國105年重要策略執行情形如下：商品面：本公司商品於105年榮獲多項大獎肯定,包含：第十三屆國家品牌玉山獎最佳產品類「全球人壽安養久久終身健康保險C型」。第十八屆保險信望愛獎以「全球人壽（國際）全美利利率變動型美元終身壽險」榮獲「最佳商品創意獎」獎項優選肯定。「全球人壽長期看護終身保險」榮獲現代保險健康理財雜誌評選『2016年度最佳風雲保單』。第三屆《Smart智富》保單評選優質保單─「全球人壽重大疾病終身健康保險（乙型）」榮獲「重大疾病險優選保單」殊榮。本公司以「你的人生,我們責無旁貸」為使命願景,透過商品創新與多元化通路策略,致力為保戶提供最專業且需求導向的產品規劃及服務,並以穩健之財務控管及永續經營原則。為滿足保戶全方位的保險及退休規劃,針對不同消費年齡層及不同族群的需求,提供一系列保險及退休規劃商品,協助保戶對抗走太早、活太老及走不了等人生三大風險,以打造保險及退休規劃專家之專業形象,成為保戶心中保險及退休規劃服務之領導品牌,協助客戶加強風險規劃及資產配置,提前規劃未來,坐擁安穩的生活保障,圓夢人生。與IBM公司攜手合作,進行系統轉型計畫,創新壽險業建置全新資訊系統。藉由業務流程優化（BPI）及標準化,以提升作業效率並作為系統導入的依據。引進最新的保險核心系統,建構資料共用與分析平台,整合銷售及服務的行動通路系統。預期可大幅縮短新產品上市時程,更精確掌握保戶需求,支援新業務需求,提升作業效率,建立以客戶為中心的優質服務,降低長期維運的成本,將是公司未來營運發展最堅強有力的支援與後盾。105年已經完成新系統設計與開發,並開始進行整合測試作業。105年度教育訓練課程執行情形如下說明：主管培訓課程：領導人才是企業的重要資源,也是市場競爭的核心價值,本公司相當重視管理人才的培育發展,也致力發展各階層主管具備相當的專業領導才能,打造卓越組織、創造不凡的營運成果。因此",0,N
5873,2016,"我們積極建立全球人壽領導人才培育發展計畫,並以循序漸進的方式培育帶領團隊主管,成為優秀成功的領導人。105年度規劃執行相關課程如下：A、「基礎管理人才培育營」：發展基階主管具備相當管理才能,提升主管的管理能力與領導思維,且發揮重要關鍵角色功能,可以進一步建立高績效優質團隊並順利執行任務達成目標。B、「主管共識營」：促進高階主管凝聚組織團隊共識。新人茶會：針對新進人員介紹公司文化與現狀,了解公司核心價值與工作環境,規劃完整新人教育訓練課程,以協助新人於到職後盡快融入職場環境,創造工作績效。通識課程：包含通識性之「自我效能提升課程」以強化同仁職場上的軟實力,提升工作效率。「保險專業課程」：提供保險相關專業知識以及近期保險熱門議題之課程,以提升同仁對於保險的專業知識與法令的瞭解。數位課程：透過網路學習平台安排「個人資料保護法與資訊安全」等相關法令課程,使員工不受時間及空間的限制增加學習的成效。財務收支及獲利能力分析在經營團隊的帶領與全體同仁的努力下,不論在市場行銷、保費收入及費用控管上皆已產生綜效。截至105年底,公司總資產已超過新臺幣9,081億元,105年度之保費收入達新臺幣938億元,亦較去年度成長23%。在經營績效方面,本公司原全球加上概括承受後原國華業務團隊所產生之新契約（簡稱非區隔帳戶）仍持續獲利近新臺幣11億元,而原國華之有效契約部份（簡稱區隔帳戶）,亦在資金運用收益率大幅提高的帶動下,獲利近新臺幣20億元,公司整體獲利達新臺幣30億元。除此之外,公司非區隔帳戶之風險資本適足率亦持續維持在250%以上,合併區隔帳戶適用行政配套下之風險資本適足比率亦達300%以上,仍持續維持財務穩健之實力。本公司秉持「誠實正直」、「彼此尊重」、「勇於負責」、「積極創新」與「卓越精進」之核心價值,使命提供專業的保險及退休規劃服務使每一個家庭獲得安心的保障與照顧,矢志成為臺灣保險業專業典範。本公司未來透過「降低利差損」、「增加死差益」和「最佳費用效益」三大策略,繼續致力為保戶提供最專業且需求導向的產品規劃及服務,以實現107年資產破兆,以及符合上市條件之目標。研究發展狀況商品開發與推動上,本公司於105年共計推出20項新商品。105年推出強化升級後的「全鑫360專案」,特色涵蓋「保額終身增值」、「利率靈活宣告」、「多種繳費年期」、「可轉年金終身領」等多重優勢,兼顧儲蓄、保本、保障、退休等功能,人生各階段需求360度一次滿足；加上各類型健康保險,包括醫療險、長期照護險、防癌險、重大疾病險等提供保戶選購以補足社會保險的不足。藉由保障及退休規劃一系列商品滿足保戶多幣別資產累積、老年照護、退休金規劃等全方位的退休計劃需求。在國際保險新業務方面,本公司於104年11月2日正式開業,首推美元計價保單「全球人壽（國際）全美利利率變動型美元終身壽險」,在商品設計與精選行銷通路策略下,截至105年12月底業績高居市場第一,有效開拓公司國際市場能見度及品牌知名度,迎接全球金融保險大商機。在推廣政策性保險商品方面,本公司「全球人壽益保微型傷害保險」及「全球人壽個人微型傷害保險」提供經濟弱勢或特定身份之民眾享有基本傷害保險保障,同時積極參與學生團體保險,以提供更多學生基本保障。看準網路購買趨勢與女力市場,本公司為提供保戶更便捷的數位投保服務,於105年12月底正式啟動網路投保平台,讓民眾可隨時隨地透過網路投保,保障、累積資產通通一指搞定,手續簡單,投保快速有效率。本公司將持續關注市場變化,藉由靈活、具有創意的商品策略,提升公司未來營運績效,並積極推廣政策性保險商品,以爭取適用更佳的政策獎勵措施。",0,N
