text_a	label
9-7%健傷保險618,297699,552(81,2-6%財責保險1,472,5731,413,22659,347+2%運輸保險642,762690,092(47,3-9%合計7,333,8817,221,241112	N
﻿107年度營業計畫概要107年度國內外金融環境展望107年,先進及新興市場經濟體景氣仍將穩定復甦。美國預計就業、製造及生產等各項經濟數據表現持穩,消費者物價指數接近目標區,同時縮表計劃的實質影響將陸續產生；歐元區雖政治的紛亂現象依然存在,但就業市場及製造業、服務業景氣預期略有上升,歐洲央行亦將重新檢視資產購買計劃；中國大陸在生產、訂單及庫存狀況持續好轉下,製造及非製造業活動可望持續增溫。國內利率方面,中央銀行除審視美國聯準會升息幅度、縮表計劃啟動對利率的實質影響程度外,將更關注國內實質利率的變化情形以決定對應之貨幣政策方向,預期107年短期利率將呈現向上格局,金融商品之利率風險亦相對前一年度增加。經營方針、重要經營政策及未來發展策略持續加強員工專業訓練,以強化人力資源管理及運用效率。建立法令遵循文化,同時強化防制洗錢及打擊資恐之管控。依產業發展適時調整授信策略,以控管信用風險。另積極開拓優質授信及FRCP客戶	N
提升本行手機信用卡使用率。提升客戶投資績效,基金與保險業務並重,順應市場趨勢機動調整股、債基金配置,增加整體投資組合效益。全面提升理財人員及輔導人員質與量,強化櫃枱人員協銷能力,發揮全員行銷功能。開發新戶、活絡舊戶,建立完整售後服務流程,依資產規模及屬性分群,以多元化活動有效經營各階層客群	Y
012億元衰退35%,主要係受到利差壓縮及證券交易量縮減等因素影響。近年國內金控業淨值報酬率(ROE)與資產報酬率(ROA)平均水準低於其他先進國家,因此決定金控競爭力優劣之關鍵,將在如何應用大數據找商機、配合數位金融趨勢推展創新金融服務、以及善用整合跨業行銷推升產出率。受法規環境之影響本公司合併財務報告係依照金融控股公司財務報告編製準則、公開發行銀行財務報告編製準則、證券商財務報告編製準則及保險業財務報告編製準則編製,本公司將持續配合主管機關時程導入IFRS9「金融工具」,經評估其餘106年適用之IFRSs規定尚不致造成本公司會計政策之重大變動。金管會於104年12月31日訂定「金融服務業公平待客原則」	N
0168,177,922買賣各類債券平均保證發行商業本票餘額5,646,907152,1605,592,022148,882逾期授信金額00逾期授信比率(%)00項目105年度104年度增減比率(%)簽單保費收入6,4156,205再保費收入590689總保費收入合計7,0046	N
完備法制環境,要求銀行加強內控內稽及法令遵循制度之執行,並強化國外營業單位之監理機制,致銀行經營管理成本提高。本行持續加強內部控制三道防線功能,並加強人員訓練與宣導,提升資訊安全防護與落實法遵合規性。總體經營環境展望106年,主要經濟預測機構普遍預估全球經濟將逐步復甦,可望為我國出口帶來轉機,惟美國新政府經貿政策走向、中國大陸經濟走勢,以及新興市場金融風險不確定因素,仍須予以關注。本行面對國際經濟金融情勢瞬息萬變之挑戰,將與時俱進,靈活應變,審時度勢,掌握市場契機,穩健拓展各項業務,增進營收來源。	N
控制風險,增加營收。財富管理、保險代理及信託業務:提升財富管理業務理財商品銷量;深耕客戶關係,加強有效客戶之開發;結合大數據分析並與保險公司合作,依各類保險商品分析目標客群及成交因子,提升銷售效率;因應美元升息氣息濃厚,且美元保單與台幣保單有顯著利差,加強銷售美元保單,創造保險手收。數位金融業務:持續整合優化行動銀行服務,建置本行數位虛擬銀行,結合晶片卡、QRCode、LINE應用、便利商店通路等金流相關服務,規劃跨裝置、跨平台的數位金融應用,同時依循科技技術演進,投入相關人力於人工智慧、區塊鏈技術、生物辨識等新種金融服務研究;提昇數位虛擬銀行APP(含數位存款帳戶)之申請、使用人數;提供符合安控、穩定、具可擴充性的現代化客戶服務系統。證券金融業務:深耕法人客群的開發與經營,提升開戶數及業績量;加強推廣電子下單業務	N
578億元,其中臺幣放款為1,482億元、外幣放款為96億元。稅前損益:01億元。	N
掌握單身商機因應未來升息趨勢及政府調高遺贈稅率,有利保險業保單銷售及推動財富管理業務網路投保相關規範逐步放寬,有助推動網路投保業務因應金融保險科技趨勢,導入數位行銷工具並加速推出各項創新數位服務及商品,滿足客戶需求	Y
﻿未來公司發展策略深耕亞太,布局全球擴大企金及外匯業務優勢強化消金及財富管理業務通路模式改革及數位平台的建置與整合加強子公司間業務整合,提昇集團綜效培育國際化人才及當地特殊專才擴大資本規模與配置	N
